plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	7h_up_dir	7h_up_dff	7h_up_scat	7h_bottom_dir	7h_bottom_dff	7h_bottom_scat	7h_totalPPFD	8h_up_dir	8h_up_dff	8h_up_scat	8h_bottom_dir	8h_bottom_dff	8h_bottom_scat	8h_totalPPFD	9h_up_dir	9h_up_dff	9h_up_scat	9h_bottom_dir	9h_bottom_dff	9h_bottom_scat	9h_totalPPFD	10h_up_dir	10h_up_dff	10h_up_scat	10h_bottom_dir	10h_bottom_dff	10h_bottom_scat	10h_totalPPFD	11h_up_dir	11h_up_dff	11h_up_scat	11h_bottom_dir	11h_bottom_dff	11h_bottom_scat	11h_totalPPFD	12h_up_dir	12h_up_dff	12h_up_scat	12h_bottom_dir	12h_bottom_dff	12h_bottom_scat	12h_totalPPFD	13h_up_dir	13h_up_dff	13h_up_scat	13h_bottom_dir	13h_bottom_dff	13h_bottom_scat	13h_totalPPFD	14h_up_dir	14h_up_dff	14h_up_scat	14h_bottom_dir	14h_bottom_dff	14h_bottom_scat	14h_totalPPFD	15h_up_dir	15h_up_dff	15h_up_scat	15h_bottom_dir	15h_bottom_dff	15h_bottom_scat	15h_totalPPFD	16h_up_dir	16h_up_dff	16h_up_scat	16h_bottom_dir	16h_bottom_dff	16h_bottom_scat	16h_totalPPFD	17h_up_dir	17h_up_dff	17h_up_scat	17h_bottom_dir	17h_bottom_dff	17h_bottom_scat	17h_totalPPFD	18h_up_dir	18h_up_dff	18h_up_scat	18h_bottom_dir	18h_bottom_dff	18h_bottom_scat	18h_totalPPFD	
1	1.00	2.00	0.94	0.00	5.29	6.21	23.15	5.96	6.99	23.59	3.83	7.46	23.15	0.00	0.0000	0.0000	1.0748	52.53	161.27	0.00	0.00	1.43	0.00	215.23	525.61	302.79	0.00	0.00	2.68	0.00	831.08	985.06	357.64	0.00	0.00	3.16	0.00	1345.87	1427.08	384.20	0.00	0.00	3.40	0.00	1814.68	1666.08	398.25	0.00	0.00	3.52	0.00	2067.86	1776.40	405.29	0.00	0.00	3.59	0.00	2185.27	1738.79	407.44	0.00	0.00	3.61	0.00	2149.83	1513.80	405.29	0.00	0.00	3.59	0.00	1922.67	1164.90	398.25	0.00	0.00	3.52	0.00	1566.68	750.54	384.20	0.00	0.00	3.40	0.00	1138.14	342.04	357.64	0.00	0.00	3.16	0.00	702.84	11.68	302.79	0.00	0.00	2.68	0.00	317.15	0.00	161.27	0.00	34.61	1.43	0.00	197.31	
1	1.00	2.00	0.09	0.00	1.93	2.25	20.16	3.01	3.53	21.26	2.38	1.86	20.16	0.00	0.0000	0.0000	0.5965	0.00	23.14	0.00	21.84	115.71	0.00	160.69	0.00	43.45	0.00	562.94	217.25	0.00	823.65	0.00	51.32	0.00	1096.94	256.61	0.00	1404.86	0.00	55.13	0.00	495.20	275.67	0.00	826.00	0.00	57.15	0.00	756.56	285.75	0.00	1099.46	0.00	58.16	0.00	1669.88	290.79	0.00	2018.83	0.00	58.47	0.00	1624.43	292.34	0.00	1975.24	0.00	58.16	0.00	1363.73	290.79	0.00	1712.69	0.00	57.15	0.00	1025.02	285.75	0.00	1367.91	0.00	55.13	0.00	514.24	275.67	0.00	845.04	0.00	51.32	0.00	197.20	256.61	0.00	505.13	131.53	43.45	0.00	0.00	217.25	0.00	392.23	48.12	23.14	0.00	0.00	115.71	0.00	186.97	
1	1.00	2.00	0.19	0.00	2.38	1.86	20.16	3.01	3.53	21.26	4.53	2.23	21.26	0.00	0.0000	0.0000	2.0070	0.00	6.88	0.00	27.57	146.74	0.00	181.19	0.00	12.91	0.00	573.90	275.51	0.00	862.33	0.00	15.25	0.00	1095.35	325.42	0.00	1436.03	0.00	16.39	0.00	1132.21	349.59	0.00	1498.19	0.00	16.99	0.00	544.04	362.38	0.00	923.41	0.00	17.29	0.00	1381.47	368.78	0.00	1767.54	0.00	17.38	0.00	1612.30	370.74	0.00	2000.42	0.00	17.29	0.00	1373.20	368.78	0.00	1759.26	0.00	16.99	0.00	986.53	362.38	0.00	1365.90	0.00	16.39	0.00	554.78	349.59	0.00	920.76	0.00	15.25	0.00	153.86	325.42	0.00	494.54	123.54	12.91	0.00	0.00	275.51	0.00	411.97	55.42	6.88	0.00	0.00	146.74	0.00	209.04	
1	1.00	2.00	0.19	0.00	2.38	1.86	20.16	4.53	2.23	21.26	4.68	2.10	21.26	0.00	0.0000	0.0000	0.1999	0.00	15.34	0.00	47.22	168.78	0.00	231.35	0.00	28.81	0.00	549.42	316.90	0.00	895.13	0.00	34.03	0.00	1066.45	374.31	0.00	1474.79	0.00	36.56	0.00	1477.51	402.11	0.00	1916.17	0.00	37.89	0.00	1383.53	416.81	0.00	1838.23	0.00	38.56	0.00	1079.51	424.18	0.00	1542.25	0.00	38.77	0.00	1730.99	426.43	0.00	2196.19	0.00	38.56	0.00	830.40	424.18	0.00	1293.14	0.00	37.89	0.00	946.62	416.81	0.00	1401.33	0.00	36.56	0.00	511.45	402.11	0.00	950.11	0.00	34.03	0.00	110.32	374.31	0.00	518.66	125.58	28.81	0.00	0.00	316.90	0.00	471.29	58.56	15.34	0.00	0.00	168.78	0.00	242.69	
1	1.00	2.00	0.37	0.00	3.01	3.53	21.26	4.13	4.85	22.26	4.53	2.23	21.26	0.00	0.0000	0.0000	1.9993	0.00	6.91	0.00	61.21	147.31	0.00	215.42	0.00	12.96	0.00	568.28	276.58	0.00	857.82	0.00	15.31	0.00	1077.53	326.68	0.00	1419.52	0.00	16.45	0.00	1352.54	350.95	0.00	1719.94	0.00	17.05	0.00	1703.99	363.78	0.00	2084.82	0.00	17.35	0.00	1768.81	370.21	0.00	2156.37	0.00	17.45	0.00	1653.16	372.17	0.00	2042.78	0.00	17.35	0.00	1428.34	370.21	0.00	1815.90	0.00	17.05	0.00	1070.46	363.78	0.00	1451.29	0.00	16.45	0.00	636.49	350.95	0.00	1003.89	0.00	15.31	0.00	209.62	326.68	0.00	551.62	81.63	12.96	0.00	0.00	276.58	0.00	371.18	49.78	6.91	0.00	0.00	147.31	0.00	203.99	
1	1.00	2.00	0.47	0.00	4.53	2.23	21.26	4.13	4.85	22.26	5.66	3.55	22.26	0.00	0.0000	0.0000	2.0125	0.00	14.48	0.00	61.18	133.38	0.00	209.04	0.00	27.19	0.00	572.33	250.43	0.00	849.95	0.00	32.12	0.00	1085.05	295.80	0.00	1412.96	0.00	34.50	0.00	1467.84	317.77	0.00	1820.11	0.00	35.76	0.00	1685.54	329.39	0.00	2050.69	0.00	36.39	0.00	1740.67	335.21	0.00	2112.27	0.00	36.59	0.00	1642.28	336.99	0.00	2015.86	0.00	36.39	0.00	1402.44	335.21	0.00	1774.04	0.00	35.76	0.00	1048.94	329.39	0.00	1414.09	0.00	34.50	0.00	632.30	317.77	0.00	984.57	0.00	32.12	0.00	226.51	295.80	0.00	554.42	81.09	27.19	0.00	0.00	250.43	0.00	358.72	49.54	14.48	0.00	0.00	133.38	0.00	197.41	
1	1.00	2.00	0.37	0.00	4.53	2.23	21.26	5.66	3.55	22.26	4.68	2.10	21.26	0.00	0.0000	0.0000	0.1990	0.00	7.71	0.00	63.59	177.31	0.00	248.61	0.00	14.47	0.00	552.09	332.92	0.00	899.48	0.00	17.10	0.00	1108.59	393.23	0.00	1518.91	0.00	18.37	0.00	1484.69	422.43	0.00	1925.49	0.00	19.04	0.00	1682.93	437.88	0.00	2139.85	0.00	19.37	0.00	1752.31	445.61	0.00	2217.29	0.00	19.48	0.00	1739.41	447.98	0.00	2206.87	0.00	19.37	0.00	1501.98	445.61	0.00	1966.97	0.00	19.04	0.00	1097.57	437.88	0.00	1554.48	0.00	18.37	0.00	513.93	422.43	0.00	954.73	0.00	17.10	0.00	221.72	393.23	0.00	632.04	63.10	14.47	0.00	0.00	332.92	0.00	410.49	49.35	7.71	0.00	0.00	177.31	0.00	234.37	
1	1.00	2.00	0.47	0.00	4.68	2.10	21.26	5.66	3.55	22.26	6.25	3.04	22.26	0.00	0.0000	0.0000	0.7818	0.00	7.85	0.00	61.83	137.34	0.00	207.02	0.00	14.73	0.00	485.73	257.86	0.00	758.33	0.00	17.40	0.00	968.64	304.57	0.00	1290.61	0.00	18.70	0.00	1467.77	327.19	0.00	1813.66	0.00	19.38	0.00	1675.93	339.15	0.00	2034.47	0.00	19.72	0.00	1698.85	345.15	0.00	2063.72	0.00	19.83	0.00	1593.59	346.98	0.00	1960.40	0.00	19.72	0.00	1401.55	345.15	0.00	1766.42	0.00	19.38	0.00	1061.42	339.15	0.00	1419.96	0.00	18.70	0.00	348.78	327.19	0.00	694.66	0.00	17.40	0.00	178.68	304.57	0.00	500.65	72.26	14.73	0.00	0.00	257.86	0.00	344.85	50.48	7.85	0.00	0.00	137.34	0.00	195.66	
1	1.00	2.00	0.66	0.00	4.13	4.85	22.26	5.29	6.21	23.15	5.66	3.55	22.26	0.00	0.0000	0.0000	2.0045	0.00	13.01	0.00	56.15	143.10	0.00	212.25	0.00	24.43	0.00	549.57	268.68	0.00	842.67	0.00	28.85	0.00	1049.04	317.35	0.00	1395.24	0.00	30.99	0.00	1434.04	340.92	0.00	1805.94	0.00	32.13	0.00	1663.23	353.38	0.00	2048.74	0.00	32.69	0.00	1764.20	359.63	0.00	2156.52	0.00	32.87	0.00	1700.65	361.54	0.00	2095.05	0.00	32.69	0.00	1474.31	359.63	0.00	1866.63	0.00	32.13	0.00	1125.77	353.38	0.00	1511.27	0.00	30.99	0.00	708.52	340.92	0.00	1080.42	0.00	28.85	0.00	282.43	317.35	0.00	628.63	32.88	24.43	0.00	0.00	268.68	0.00	325.98	42.02	13.01	0.00	0.00	143.10	0.00	198.12	
1	1.00	2.00	0.75	0.00	5.66	3.55	22.26	5.29	6.21	23.15	6.76	4.96	23.15	0.00	0.0000	0.0000	1.9259	0.00	7.17	0.00	56.77	143.37	0.00	207.31	0.00	13.46	0.00	475.86	269.18	0.00	758.50	0.00	15.90	0.00	927.71	317.94	0.00	1261.55	0.00	17.08	0.00	1451.30	341.56	0.00	1809.93	0.00	17.70	0.00	1693.35	354.04	0.00	2065.10	0.00	18.01	0.00	1767.28	360.30	0.00	2145.59	0.00	18.11	0.00	1662.27	362.21	0.00	2042.60	0.00	18.01	0.00	1448.30	360.30	0.00	1826.62	0.00	17.70	0.00	1126.38	354.04	0.00	1498.13	0.00	17.08	0.00	707.95	341.56	0.00	1066.58	0.00	15.90	0.00	259.61	317.94	0.00	593.45	22.82	13.46	0.00	0.00	269.18	0.00	305.45	42.07	7.17	0.00	0.00	143.37	0.00	192.60	
